#DB,#Model,#Mment,#Shots,#Temp,#Deviation
test_8mm_CEA.db,standard,Pyro-sq_21607 (C),12,200.0,0.0051017611918079
test_8mm_CEA.db,standard,Pyro-sq_21607 (C),13,200.0,0.005474090683651
test_8mm_CEA.db,standard,Pyro-sq_21607 (C),14,200.0,0.0056633697277191
test_8mm_CEA.db,standard,Pyro-sq_21607 (C),15,200.0,0.0060978432528594
test_8mm_CEA.db,standard,Pyro-sq_21607 (C),16,200.0,0.0030935607278153
test_8mm_CEA.db,standard,Pyro-sq_21607 (C),17,200.0,0.0031711932003339
test_8mm_CEA.db,standard,Pyro-sq_21607 (C),18,200.0,0.0030051416645817
test_8mm_CEA.db,standard,Pyro-sq_21607 (C),19,200.0,0.0033560154777469
test_8mm_CEA.db,standard,Pyro-sq_21607 (C),20,200.0,0.0027364287533868
test_8mm_CEA.db,standard,Pyro-sq_21607 (C),21,21.0,0.0038732958954912
test_8mm_CEA.db,standard,Pyro-sq_21607 (C),22,21.0,0.0033091828604765
test_8mm_CEA.db,standard,Pyro-sq_21607 (C),23,21.0,0.0098067620780909
test_8mm_CEA.db,standard,Pyro-sq_21607 (C),24,21.0,0.0018689175840098
test_8mm_CEA.db,standard,Pyro-sq_21607 (C),25,21.0,0.0037614227214195
test_8mm_CEA.db,standard,Pyro-sq_21607 (C),26,22.0,0.0049710345911344
test_8mm_CEA.db,standard,Pyro-sq_21607 (C),27,22.0,0.0032150742850636
test_8mm_CEA.db,standard,Pyro-sq_21607 (C),28,22.0,0.0030993050871088
test_8mm_CEA.db,standard,Pyro-sq_21607 (C),29,22.0,0.0016428976605418
test_8mm_CEA.db,standard,Pyro-sq_21607 (C),30,22.0,0.00134815263338
test_8mm_CEA.db,standard,Pyro-sq_21607 (C),31,25.0,0.0029895542188338
test_8mm_CEA.db,standard,Pyro-sq_21607 (C),32,25.0,0.0038522044436881
test_8mm_CEA.db,standard,Pyro-sq_21607 (C),33,25.0,0.0014488343271541
test_8mm_CEA.db,standard,Pyro-sq_21607 (C),34,25.0,2.146393763535759e-05
test_8mm_CEA.db,standard,Pyro-sq_21607 (C),35,25.0,0.0019642335908545
test_8mm_CEA.db,standard,Pyro-sq_21607 (C),36,25.0,0.0048733986726745
test_8mm_CEA.db,standard,Pyro-sq_21607 (C),37,25.0,0.0039850011578992
test_8mm_CEA.db,standard,Pyro-sq_21607 (C),38,25.0,0.0037492082896135
test_8mm_CEA.db,standard,Pyro-sq_21607 (C),39,25.0,0.0039503872164494
test_8mm_CEA.db,standard,Pyro-sq_21607 (C),40,25.0,0.0019698515048778
test_8mm_CEA.db,standard,Pyro-sq_21607 (C),41,300.0,0.0074068004262169
